ENSAPET00000000592.1 ENSAPEG00000000464.1
ENSAPET00000005004.1 ENSAPEG00000003518.1
ENSAPET00000005007.1 ENSAPEG00000003519.1
ENSAPET00000005006.1 ENSAPEG00000003520.1
ENSAPET00000005100.1 ENSAPEG00000003521.1
ENSAPET00000005031.1 ENSAPEG00000003522.1
ENSAPET00000005056.1 ENSAPEG00000003522.1
ENSAPET00000005041.1 ENSAPEG00000003523.1
ENSAPET00000005054.1 ENSAPEG00000003523.1
ENSAPET00000005068.1 ENSAPEG00000003523.1
ENSAPET00000005033.1 ENSAPEG00000003524.1
ENSAPET00000005015.1 ENSAPEG00000003525.1
ENSAPET00000005077.1 ENSAPEG00000003526.1
ENSAPET00000005101.1 ENSAPEG00000003526.1
ENSAPET00000005017.1 ENSAPEG00000003527.1
ENSAPET00000005023.1 ENSAPEG00000003527.1
ENSAPET00000005074.1 ENSAPEG00000003528.1
ENSAPET00000005092.1 ENSAPEG00000003528.1
ENSAPET00000005714.1 ENSAPEG00000003529.1
ENSAPET00000005739.1 ENSAPEG00000003529.1
ENSAPET00000005763.1 ENSAPEG00000003529.1
ENSAPET00000005794.1 ENSAPEG00000003529.1
ENSAPET00000005811.1 ENSAPEG00000003529.1
ENSAPET00000005845.1 ENSAPEG00000003529.1
ENSAPET00000005868.1 ENSAPEG00000003529.1
ENSAPET00000005047.1 ENSAPEG00000003530.1
ENSAPET00000005067.1 ENSAPEG00000003530.1
ENSAPET00000005018.1 ENSAPEG00000003531.1
ENSAPET00000005024.1 ENSAPEG00000003531.1
ENSAPET00000005019.1 ENSAPEG00000003532.1
ENSAPET00000005125.1 ENSAPEG00000003534.1
ENSAPET00000005040.1 ENSAPEG00000003535.1
ENSAPET00000005062.1 ENSAPEG00000003536.1
ENSAPET00000005081.1 ENSAPEG00000003536.1
ENSAPET00000005084.1 ENSAPEG00000003537.1
ENSAPET00000005021.1 ENSAPEG00000003538.1
ENSAPET00000005064.1 ENSAPEG00000003539.1
ENSAPET00000005028.1 ENSAPEG00000003540.1
ENSAPET00000005050.1 ENSAPEG00000003541.1
ENSAPET00000005036.1 ENSAPEG00000003542.1
ENSAPET00000005030.1 ENSAPEG00000003543.1
ENSAPET00000005052.1 ENSAPEG00000003544.1
ENSAPET00000005053.1 ENSAPEG00000003546.1
ENSAPET00000005089.1 ENSAPEG00000003547.1
ENSAPET00000005051.1 ENSAPEG00000003548.1
ENSAPET00000005039.1 ENSAPEG00000003549.1
ENSAPET00000005042.1 ENSAPEG00000003550.1
ENSAPET00000005130.1 ENSAPEG00000003551.1
ENSAPET00000005157.1 ENSAPEG00000003551.1
ENSAPET00000005049.1 ENSAPEG00000003552.1
ENSAPET00000005048.1 ENSAPEG00000003553.1
ENSAPET00000005078.1 ENSAPEG00000003554.1
ENSAPET00000005115.1 ENSAPEG00000003555.1
ENSAPET00000005128.1 ENSAPEG00000003555.1
ENSAPET00000005109.1 ENSAPEG00000003556.1
ENSAPET00000005135.1 ENSAPEG00000003556.1
ENSAPET00000005058.1 ENSAPEG00000003557.1
ENSAPET00000005069.1 ENSAPEG00000003557.1
ENSAPET00000005111.1 ENSAPEG00000003560.1
ENSAPET00000005083.1 ENSAPEG00000003561.1
ENSAPET00000005098.1 ENSAPEG00000003562.1
ENSAPET00000005133.1 ENSAPEG00000003563.1
ENSAPET00000005073.1 ENSAPEG00000003564.1
ENSAPET00000005087.1 ENSAPEG00000003564.1
ENSAPET00000005075.1 ENSAPEG00000003565.1
ENSAPET00000005090.1 ENSAPEG00000003565.1
ENSAPET00000005085.1 ENSAPEG00000003566.1
ENSAPET00000005080.1 ENSAPEG00000003568.1
ENSAPET00000005099.1 ENSAPEG00000003569.1
ENSAPET00000005110.1 ENSAPEG00000003570.1
ENSAPET00000005082.1 ENSAPEG00000003571.1
ENSAPET00000005117.1 ENSAPEG00000003572.1
ENSAPET00000005095.1 ENSAPEG00000003573.1
ENSAPET00000005094.1 ENSAPEG00000003575.1
ENSAPET00000005107.1 ENSAPEG00000003576.1
ENSAPET00000005112.1 ENSAPEG00000003577.1
ENSAPET00000005138.1 ENSAPEG00000003578.1
ENSAPET00000005097.1 ENSAPEG00000003579.1
ENSAPET00000005132.1 ENSAPEG00000003580.1
ENSAPET00000005324.1 ENSAPEG00000003581.1
ENSAPET00000005124.1 ENSAPEG00000003582.1
ENSAPET00000005102.1 ENSAPEG00000003583.1
ENSAPET00000005103.1 ENSAPEG00000003584.1
ENSAPET00000005108.1 ENSAPEG00000003584.1
ENSAPET00000005122.1 ENSAPEG00000003584.1
ENSAPET00000005129.1 ENSAPEG00000003585.1
ENSAPET00000005105.1 ENSAPEG00000003586.1
ENSAPET00000005121.1 ENSAPEG00000003586.1
ENSAPET00000005141.1 ENSAPEG00000003586.1
ENSAPET00000005172.1 ENSAPEG00000003588.1
ENSAPET00000005222.1 ENSAPEG00000003589.1
ENSAPET00000005118.1 ENSAPEG00000003590.1
ENSAPET00000005131.1 ENSAPEG00000003590.1
ENSAPET00000005113.1 ENSAPEG00000003591.1
ENSAPET00000005139.1 ENSAPEG00000003592.1
ENSAPET00000005120.1 ENSAPEG00000003593.1
ENSAPET00000005119.1 ENSAPEG00000003594.1
ENSAPET00000005123.1 ENSAPEG00000003595.1
ENSAPET00000005134.1 ENSAPEG00000003596.1
ENSAPET00000005126.1 ENSAPEG00000003597.1
ENSAPET00000005137.1 ENSAPEG00000003597.1
ENSAPET00000005166.1 ENSAPEG00000003598.1
ENSAPET00000005177.1 ENSAPEG00000003598.1
ENSAPET00000005187.1 ENSAPEG00000003599.1
ENSAPET00000005208.1 ENSAPEG00000003599.1
ENSAPET00000005150.1 ENSAPEG00000003600.1
ENSAPET00000005154.1 ENSAPEG00000003601.1
ENSAPET00000005604.1 ENSAPEG00000003602.1
ENSAPET00000005665.1 ENSAPEG00000003602.1
ENSAPET00000005690.1 ENSAPEG00000003602.1
ENSAPET00000005728.1 ENSAPEG00000003602.1
ENSAPET00000005760.1 ENSAPEG00000003602.1
ENSAPET00000005793.1 ENSAPEG00000003602.1
ENSAPET00000005820.1 ENSAPEG00000003602.1
ENSAPET00000005835.1 ENSAPEG00000003602.1
ENSAPET00000005853.1 ENSAPEG00000003602.1
ENSAPET00000005156.1 ENSAPEG00000003603.1
ENSAPET00000005144.1 ENSAPEG00000003604.1
ENSAPET00000005151.1 ENSAPEG00000003605.1
ENSAPET00000005142.1 ENSAPEG00000003606.1
ENSAPET00000005165.1 ENSAPEG00000003606.1
ENSAPET00000005145.1 ENSAPEG00000003607.1
ENSAPET00000005143.1 ENSAPEG00000003608.1
ENSAPET00000005160.1 ENSAPEG00000003608.1
ENSAPET00000005149.1 ENSAPEG00000003609.1
ENSAPET00000005147.1 ENSAPEG00000003610.1
ENSAPET00000005159.1 ENSAPEG00000003611.1
ENSAPET00000005171.1 ENSAPEG00000003611.1
ENSAPET00000005179.1 ENSAPEG00000003611.1
ENSAPET00000005155.1 ENSAPEG00000003612.1
ENSAPET00000005180.1 ENSAPEG00000003612.1
ENSAPET00000005153.1 ENSAPEG00000003613.1
ENSAPET00000005163.1 ENSAPEG00000003614.1
ENSAPET00000005175.1 ENSAPEG00000003614.1
ENSAPET00000005158.1 ENSAPEG00000003615.1
ENSAPET00000005170.1 ENSAPEG00000003615.1
ENSAPET00000005190.1 ENSAPEG00000003615.1
ENSAPET00000005206.1 ENSAPEG00000003615.1
ENSAPET00000005161.1 ENSAPEG00000003616.1
ENSAPET00000005162.1 ENSAPEG00000003617.1
ENSAPET00000005173.1 ENSAPEG00000003618.1
ENSAPET00000005164.1 ENSAPEG00000003619.1
ENSAPET00000005226.1 ENSAPEG00000003619.1
ENSAPET00000005217.1 ENSAPEG00000003620.1
ENSAPET00000005228.1 ENSAPEG00000003620.1
ENSAPET00000005237.1 ENSAPEG00000003620.1
ENSAPET00000005271.1 ENSAPEG00000003620.1
ENSAPET00000005168.1 ENSAPEG00000003621.1
ENSAPET00000005209.1 ENSAPEG00000003622.1
ENSAPET00000005223.1 ENSAPEG00000003622.1
ENSAPET00000005167.1 ENSAPEG00000003623.1
ENSAPET00000005263.1 ENSAPEG00000003625.1
ENSAPET00000005292.1 ENSAPEG00000003625.1
ENSAPET00000005196.1 ENSAPEG00000003626.1
ENSAPET00000005204.1 ENSAPEG00000003626.1
ENSAPET00000005235.1 ENSAPEG00000003627.1
ENSAPET00000005207.1 ENSAPEG00000003628.1
ENSAPET00000005216.1 ENSAPEG00000003628.1
ENSAPET00000005176.1 ENSAPEG00000003629.1
ENSAPET00000005174.1 ENSAPEG00000003630.1
ENSAPET00000005178.1 ENSAPEG00000003631.1
ENSAPET00000005239.1 ENSAPEG00000003632.1
ENSAPET00000005270.1 ENSAPEG00000003632.1
ENSAPET00000005246.1 ENSAPEG00000003633.1
ENSAPET00000005214.1 ENSAPEG00000003634.1
ENSAPET00000005184.1 ENSAPEG00000003635.1
ENSAPET00000005192.1 ENSAPEG00000003636.1
ENSAPET00000005195.1 ENSAPEG00000003637.1
ENSAPET00000005193.1 ENSAPEG00000003638.1
ENSAPET00000005256.1 ENSAPEG00000003639.1
ENSAPET00000005260.1 ENSAPEG00000003639.1
ENSAPET00000005210.1 ENSAPEG00000003640.1
ENSAPET00000005198.1 ENSAPEG00000003641.1
ENSAPET00000005188.1 ENSAPEG00000003642.1
ENSAPET00000005240.1 ENSAPEG00000003643.1
ENSAPET00000005197.1 ENSAPEG00000003644.1
ENSAPET00000005201.1 ENSAPEG00000003645.1
ENSAPET00000005218.1 ENSAPEG00000003645.1
ENSAPET00000005281.1 ENSAPEG00000003646.1
ENSAPET00000005309.1 ENSAPEG00000003646.1
ENSAPET00000005221.1 ENSAPEG00000003647.1
ENSAPET00000005202.1 ENSAPEG00000003648.1
ENSAPET00000005215.1 ENSAPEG00000003649.1
ENSAPET00000005200.1 ENSAPEG00000003650.1
ENSAPET00000005212.1 ENSAPEG00000003650.1
ENSAPET00000005247.1 ENSAPEG00000003651.1
ENSAPET00000005203.1 ENSAPEG00000003652.1
ENSAPET00000005219.1 ENSAPEG00000003653.1
ENSAPET00000005205.1 ENSAPEG00000003654.1
ENSAPET00000005230.1 ENSAPEG00000003655.1
ENSAPET00000005273.1 ENSAPEG00000003656.1
ENSAPET00000005245.1 ENSAPEG00000003657.1
ENSAPET00000005280.1 ENSAPEG00000003659.1
ENSAPET00000005368.1 ENSAPEG00000003660.1
ENSAPET00000005278.1 ENSAPEG00000003661.1
ENSAPET00000005254.1 ENSAPEG00000003663.1
ENSAPET00000005272.1 ENSAPEG00000003665.1
ENSAPET00000005238.1 ENSAPEG00000003666.1
ENSAPET00000005367.1 ENSAPEG00000003666.1
ENSAPET00000005408.1 ENSAPEG00000003666.1
ENSAPET00000005446.1 ENSAPEG00000003666.1
ENSAPET00000005477.1 ENSAPEG00000003666.1
ENSAPET00000005294.1 ENSAPEG00000003667.1
ENSAPET00000005279.1 ENSAPEG00000003668.1
ENSAPET00000005305.1 ENSAPEG00000003668.1
ENSAPET00000005257.1 ENSAPEG00000003669.1
ENSAPET00000005250.1 ENSAPEG00000003670.1
ENSAPET00000005248.1 ENSAPEG00000003671.1
ENSAPET00000005233.1 ENSAPEG00000003672.1
ENSAPET00000005243.1 ENSAPEG00000003672.1
ENSAPET00000005227.1 ENSAPEG00000003673.1
ENSAPET00000005231.1 ENSAPEG00000003673.1
ENSAPET00000005241.1 ENSAPEG00000003673.1
ENSAPET00000005253.1 ENSAPEG00000003673.1
ENSAPET00000005269.1 ENSAPEG00000003673.1
ENSAPET00000005268.1 ENSAPEG00000003674.1
ENSAPET00000005299.1 ENSAPEG00000003674.1
ENSAPET00000005229.1 ENSAPEG00000003675.1
ENSAPET00000005352.1 ENSAPEG00000003676.1
ENSAPET00000005374.1 ENSAPEG00000003676.1
ENSAPET00000005404.1 ENSAPEG00000003676.1
ENSAPET00000005435.1 ENSAPEG00000003676.1
ENSAPET00000005472.1 ENSAPEG00000003676.1
ENSAPET00000005491.1 ENSAPEG00000003676.1
ENSAPET00000005264.1 ENSAPEG00000003677.1
ENSAPET00000005307.1 ENSAPEG00000003678.1
ENSAPET00000005321.1 ENSAPEG00000003678.1
ENSAPET00000005232.1 ENSAPEG00000003679.1
ENSAPET00000005419.1 ENSAPEG00000003680.1
ENSAPET00000005262.1 ENSAPEG00000003681.1
ENSAPET00000005255.1 ENSAPEG00000003682.1
ENSAPET00000005327.1 ENSAPEG00000003683.1
ENSAPET00000005258.1 ENSAPEG00000003684.1
ENSAPET00000005316.1 ENSAPEG00000003685.1
ENSAPET00000005261.1 ENSAPEG00000003686.1
ENSAPET00000005244.1 ENSAPEG00000003687.1
ENSAPET00000005251.1 ENSAPEG00000003687.1
ENSAPET00000005252.1 ENSAPEG00000003687.1
ENSAPET00000005364.1 ENSAPEG00000003688.1
ENSAPET00000005392.1 ENSAPEG00000003688.1
ENSAPET00000005415.1 ENSAPEG00000003688.1
ENSAPET00000005259.1 ENSAPEG00000003689.1
ENSAPET00000005277.1 ENSAPEG00000003690.1
ENSAPET00000005297.1 ENSAPEG00000003690.1
ENSAPET00000005266.1 ENSAPEG00000003691.1
ENSAPET00000005265.1 ENSAPEG00000003692.1
ENSAPET00000005319.1 ENSAPEG00000003693.1
ENSAPET00000005293.1 ENSAPEG00000003694.1
ENSAPET00000005303.1 ENSAPEG00000003694.1
ENSAPET00000005274.1 ENSAPEG00000003695.1
ENSAPET00000005275.1 ENSAPEG00000003696.1
ENSAPET00000005320.1 ENSAPEG00000003697.1
ENSAPET00000005276.1 ENSAPEG00000003698.1
ENSAPET00000005300.1 ENSAPEG00000003698.1
ENSAPET00000005314.1 ENSAPEG00000003698.1
ENSAPET00000005337.1 ENSAPEG00000003698.1
ENSAPET00000005282.1 ENSAPEG00000003699.1
ENSAPET00000005285.1 ENSAPEG00000003700.1
ENSAPET00000005284.1 ENSAPEG00000003701.1
ENSAPET00000005296.1 ENSAPEG00000003701.1
ENSAPET00000005322.1 ENSAPEG00000003702.1
ENSAPET00000005335.1 ENSAPEG00000003702.1
ENSAPET00000005288.1 ENSAPEG00000003703.1
ENSAPET00000005306.1 ENSAPEG00000003703.1
ENSAPET00000005331.1 ENSAPEG00000003704.1
ENSAPET00000005344.1 ENSAPEG00000003704.1
ENSAPET00000005350.1 ENSAPEG00000003704.1
ENSAPET00000005330.1 ENSAPEG00000003705.1
ENSAPET00000005348.1 ENSAPEG00000003705.1
ENSAPET00000005286.1 ENSAPEG00000003706.1
ENSAPET00000005287.1 ENSAPEG00000003707.1
ENSAPET00000005432.1 ENSAPEG00000003709.1
ENSAPET00000005341.1 ENSAPEG00000003710.1
ENSAPET00000005356.1 ENSAPEG00000003710.1
ENSAPET00000005361.1 ENSAPEG00000003710.1
ENSAPET00000005369.1 ENSAPEG00000003710.1
ENSAPET00000005304.1 ENSAPEG00000003711.1
ENSAPET00000005289.1 ENSAPEG00000003712.1
ENSAPET00000005301.1 ENSAPEG00000003712.1
ENSAPET00000005315.1 ENSAPEG00000003712.1
ENSAPET00000005291.1 ENSAPEG00000003713.1
ENSAPET00000005308.1 ENSAPEG00000003713.1
ENSAPET00000005334.1 ENSAPEG00000003713.1
ENSAPET00000005355.1 ENSAPEG00000003713.1
ENSAPET00000005343.1 ENSAPEG00000003714.1
ENSAPET00000005358.1 ENSAPEG00000003714.1
ENSAPET00000005317.1 ENSAPEG00000003715.1
ENSAPET00000005325.1 ENSAPEG00000003715.1
ENSAPET00000005413.1 ENSAPEG00000003715.1
ENSAPET00000005434.1 ENSAPEG00000003715.1
ENSAPET00000005478.1 ENSAPEG00000003715.1
ENSAPET00000005346.1 ENSAPEG00000003716.1
ENSAPET00000006322.1 ENSAPEG00000003717.1
ENSAPET00000006626.1 ENSAPEG00000003717.1
ENSAPET00000006633.1 ENSAPEG00000003717.1
ENSAPET00000006645.1 ENSAPEG00000003717.1
ENSAPET00000006676.1 ENSAPEG00000003717.1
ENSAPET00000005366.1 ENSAPEG00000003719.1
ENSAPET00000005323.1 ENSAPEG00000003720.1
ENSAPET00000005359.1 ENSAPEG00000003721.1
ENSAPET00000005311.1 ENSAPEG00000003722.1
ENSAPET00000005851.1 ENSAPEG00000003723.1
ENSAPET00000006085.1 ENSAPEG00000003723.1
ENSAPET00000006107.1 ENSAPEG00000003723.1
ENSAPET00000006129.1 ENSAPEG00000003723.1
ENSAPET00000005326.1 ENSAPEG00000003724.1
ENSAPET00000005312.1 ENSAPEG00000003725.1
ENSAPET00000005333.1 ENSAPEG00000003726.1
ENSAPET00000005342.1 ENSAPEG00000003726.1
ENSAPET00000005508.1 ENSAPEG00000003727.1
ENSAPET00000005541.1 ENSAPEG00000003727.1
ENSAPET00000005565.1 ENSAPEG00000003727.1
ENSAPET00000005611.1 ENSAPEG00000003727.1
ENSAPET00000005313.1 ENSAPEG00000003728.1
ENSAPET00000005426.1 ENSAPEG00000003729.1
ENSAPET00000005445.1 ENSAPEG00000003729.1
ENSAPET00000005362.1 ENSAPEG00000003730.1
ENSAPET00000005329.1 ENSAPEG00000003731.1
ENSAPET00000005391.1 ENSAPEG00000003732.1
ENSAPET00000005417.1 ENSAPEG00000003732.1
ENSAPET00000005332.1 ENSAPEG00000003733.1
ENSAPET00000005363.1 ENSAPEG00000003734.1
ENSAPET00000005681.1 ENSAPEG00000003735.1
ENSAPET00000005732.1 ENSAPEG00000003735.1
ENSAPET00000005766.1 ENSAPEG00000003735.1
ENSAPET00000005339.1 ENSAPEG00000003736.1
ENSAPET00000005328.1 ENSAPEG00000003737.1
ENSAPET00000005336.1 ENSAPEG00000003738.1
ENSAPET00000005396.1 ENSAPEG00000003739.1
ENSAPET00000005365.1 ENSAPEG00000003740.1
ENSAPET00000005351.1 ENSAPEG00000003741.1
ENSAPET00000005380.1 ENSAPEG00000003741.1
ENSAPET00000005338.1 ENSAPEG00000003742.1
ENSAPET00000005411.1 ENSAPEG00000003743.1
ENSAPET00000005423.1 ENSAPEG00000003744.1
ENSAPET00000005371.1 ENSAPEG00000003745.1
ENSAPET00000005345.1 ENSAPEG00000003746.1
ENSAPET00000005450.1 ENSAPEG00000003747.1
ENSAPET00000005476.1 ENSAPEG00000003747.1
ENSAPET00000005420.1 ENSAPEG00000003748.1
ENSAPET00000005438.1 ENSAPEG00000003748.1
ENSAPET00000005479.1 ENSAPEG00000003749.1
ENSAPET00000005385.1 ENSAPEG00000003750.1
ENSAPET00000005347.1 ENSAPEG00000003751.1
ENSAPET00000005353.1 ENSAPEG00000003751.1
ENSAPET00000005349.1 ENSAPEG00000003752.1
ENSAPET00000005357.1 ENSAPEG00000003752.1
ENSAPET00000005387.1 ENSAPEG00000003753.1
ENSAPET00000005389.1 ENSAPEG00000003754.1
ENSAPET00000005354.1 ENSAPEG00000003755.1
ENSAPET00000005382.1 ENSAPEG00000003755.1
ENSAPET00000005403.1 ENSAPEG00000003755.1
ENSAPET00000005437.1 ENSAPEG00000003755.1
ENSAPET00000005360.1 ENSAPEG00000003756.1
ENSAPET00000005412.1 ENSAPEG00000003757.1
ENSAPET00000005402.1 ENSAPEG00000003758.1
ENSAPET00000005538.1 ENSAPEG00000003759.1
ENSAPET00000005573.1 ENSAPEG00000003759.1
ENSAPET00000005416.1 ENSAPEG00000003760.1
ENSAPET00000005447.1 ENSAPEG00000003761.1
ENSAPET00000005370.1 ENSAPEG00000003762.1
ENSAPET00000005381.1 ENSAPEG00000003763.1
ENSAPET00000005393.1 ENSAPEG00000003765.1
ENSAPET00000005373.1 ENSAPEG00000003766.1
ENSAPET00000005388.1 ENSAPEG00000003767.1
ENSAPET00000005428.1 ENSAPEG00000003768.1
ENSAPET00000005375.1 ENSAPEG00000003769.1
ENSAPET00000005394.1 ENSAPEG00000003769.1
ENSAPET00000005427.1 ENSAPEG00000003769.1
ENSAPET00000005433.1 ENSAPEG00000003770.1
ENSAPET00000005448.1 ENSAPEG00000003770.1
ENSAPET00000005378.1 ENSAPEG00000003771.1
ENSAPET00000005395.1 ENSAPEG00000003771.1
ENSAPET00000005379.1 ENSAPEG00000003772.1
ENSAPET00000005398.1 ENSAPEG00000003772.1
ENSAPET00000005409.1 ENSAPEG00000003772.1
ENSAPET00000005384.1 ENSAPEG00000003773.1
ENSAPET00000005383.1 ENSAPEG00000003774.1
ENSAPET00000005390.1 ENSAPEG00000003774.1
ENSAPET00000005400.1 ENSAPEG00000003774.1
ENSAPET00000005421.1 ENSAPEG00000003774.1
ENSAPET00000005436.1 ENSAPEG00000003774.1
ENSAPET00000005460.1 ENSAPEG00000003775.1
ENSAPET00000005480.1 ENSAPEG00000003775.1
ENSAPET00000005489.1 ENSAPEG00000003775.1
ENSAPET00000005494.1 ENSAPEG00000003775.1
ENSAPET00000005386.1 ENSAPEG00000003776.1
ENSAPET00000005425.1 ENSAPEG00000003777.1
ENSAPET00000005418.1 ENSAPEG00000003778.1
ENSAPET00000005397.1 ENSAPEG00000003779.1
ENSAPET00000005406.1 ENSAPEG00000003779.1
ENSAPET00000005452.1 ENSAPEG00000003780.1
ENSAPET00000005471.1 ENSAPEG00000003780.1
ENSAPET00000005430.1 ENSAPEG00000003781.1
ENSAPET00000005621.1 ENSAPEG00000003782.1
ENSAPET00000005670.1 ENSAPEG00000003782.1
ENSAPET00000005401.1 ENSAPEG00000003783.1
ENSAPET00000005405.1 ENSAPEG00000003784.1
ENSAPET00000005407.1 ENSAPEG00000003785.1
ENSAPET00000005700.1 ENSAPEG00000003786.1
ENSAPET00000005422.1 ENSAPEG00000003787.1
ENSAPET00000005414.1 ENSAPEG00000003788.1
ENSAPET00000005410.1 ENSAPEG00000003789.1
ENSAPET00000005526.1 ENSAPEG00000003790.1
ENSAPET00000005559.1 ENSAPEG00000003790.1
ENSAPET00000005568.1 ENSAPEG00000003790.1
ENSAPET00000005429.1 ENSAPEG00000003791.1
ENSAPET00000005534.1 ENSAPEG00000003792.1
ENSAPET00000005549.1 ENSAPEG00000003792.1
ENSAPET00000005580.1 ENSAPEG00000003792.1
ENSAPET00000005600.1 ENSAPEG00000003792.1
ENSAPET00000005625.1 ENSAPEG00000003792.1
ENSAPET00000005424.1 ENSAPEG00000003793.1
ENSAPET00000005498.1 ENSAPEG00000003794.1
ENSAPET00000005516.1 ENSAPEG00000003794.1
ENSAPET00000005512.1 ENSAPEG00000003795.1
ENSAPET00000005431.1 ENSAPEG00000003796.1
ENSAPET00000005528.1 ENSAPEG00000003797.1
ENSAPET00000005518.1 ENSAPEG00000003798.1
ENSAPET00000005535.1 ENSAPEG00000003798.1
ENSAPET00000005490.1 ENSAPEG00000003799.1
ENSAPET00000005501.1 ENSAPEG00000003799.1
ENSAPET00000005453.1 ENSAPEG00000003800.1
ENSAPET00000005504.1 ENSAPEG00000003801.1
ENSAPET00000005467.1 ENSAPEG00000003802.1
ENSAPET00000005451.1 ENSAPEG00000003803.1
ENSAPET00000005449.1 ENSAPEG00000003804.1
ENSAPET00000005470.1 ENSAPEG00000003805.1
ENSAPET00000005507.1 ENSAPEG00000003806.1
ENSAPET00000005439.1 ENSAPEG00000003807.1
ENSAPET00000005440.1 ENSAPEG00000003808.1
ENSAPET00000005455.1 ENSAPEG00000003808.1
ENSAPET00000005444.1 ENSAPEG00000003809.1
ENSAPET00000005463.1 ENSAPEG00000003809.1
ENSAPET00000005443.1 ENSAPEG00000003810.1
ENSAPET00000005462.1 ENSAPEG00000003810.1
ENSAPET00000005482.1 ENSAPEG00000003810.1
ENSAPET00000005442.1 ENSAPEG00000003811.1
ENSAPET00000005457.1 ENSAPEG00000003811.1
ENSAPET00000005464.1 ENSAPEG00000003812.1
ENSAPET00000005441.1 ENSAPEG00000003813.1
ENSAPET00000005607.1 ENSAPEG00000003814.1
ENSAPET00000005454.1 ENSAPEG00000003815.1
ENSAPET00000005473.1 ENSAPEG00000003815.1
ENSAPET00000005492.1 ENSAPEG00000003815.1
ENSAPET00000005459.1 ENSAPEG00000003816.1
ENSAPET00000005456.1 ENSAPEG00000003817.1
ENSAPET00000005458.1 ENSAPEG00000003818.1
ENSAPET00000005570.1 ENSAPEG00000003819.1
ENSAPET00000005540.1 ENSAPEG00000003820.1
ENSAPET00000005571.1 ENSAPEG00000003820.1
ENSAPET00000005616.1 ENSAPEG00000003820.1
ENSAPET00000005468.1 ENSAPEG00000003821.1
ENSAPET00000005466.1 ENSAPEG00000003822.1
ENSAPET00000005465.1 ENSAPEG00000003823.1
ENSAPET00000006074.1 ENSAPEG00000003824.1
ENSAPET00000006102.1 ENSAPEG00000003824.1
ENSAPET00000006128.1 ENSAPEG00000003824.1
ENSAPET00000005469.1 ENSAPEG00000003825.1
ENSAPET00000005483.1 ENSAPEG00000003826.1
ENSAPET00000005475.1 ENSAPEG00000003827.1
ENSAPET00000005510.1 ENSAPEG00000003828.1
ENSAPET00000005474.1 ENSAPEG00000003829.1
ENSAPET00000005481.1 ENSAPEG00000003830.1
ENSAPET00000005487.1 ENSAPEG00000003831.1
ENSAPET00000005484.1 ENSAPEG00000003832.1
ENSAPET00000005499.1 ENSAPEG00000003833.1
ENSAPET00000005544.1 ENSAPEG00000003834.1
ENSAPET00000005520.1 ENSAPEG00000003835.1
ENSAPET00000005485.1 ENSAPEG00000003836.1
ENSAPET00000005537.1 ENSAPEG00000003837.1
ENSAPET00000005486.1 ENSAPEG00000003838.1
ENSAPET00000005514.1 ENSAPEG00000003839.1
ENSAPET00000005525.1 ENSAPEG00000003839.1
ENSAPET00000005594.1 ENSAPEG00000003840.1
ENSAPET00000005519.1 ENSAPEG00000003841.1
ENSAPET00000005505.1 ENSAPEG00000003842.1
ENSAPET00000005488.1 ENSAPEG00000003843.1
ENSAPET00000005522.1 ENSAPEG00000003844.1
ENSAPET00000005506.1 ENSAPEG00000003845.1
ENSAPET00000005532.1 ENSAPEG00000003846.1
ENSAPET00000005550.1 ENSAPEG00000003846.1
ENSAPET00000005574.1 ENSAPEG00000003847.1
ENSAPET00000005493.1 ENSAPEG00000003848.1
ENSAPET00000005495.1 ENSAPEG00000003849.1
ENSAPET00000005496.1 ENSAPEG00000003850.1
ENSAPET00000005513.1 ENSAPEG00000003850.1
ENSAPET00000005497.1 ENSAPEG00000003851.1
ENSAPET00000005511.1 ENSAPEG00000003851.1
ENSAPET00000005569.1 ENSAPEG00000003851.1
ENSAPET00000005500.1 ENSAPEG00000003852.1
ENSAPET00000005539.1 ENSAPEG00000003853.1
ENSAPET00000005531.1 ENSAPEG00000003855.1
ENSAPET00000005542.1 ENSAPEG00000003855.1
ENSAPET00000005554.1 ENSAPEG00000003855.1
ENSAPET00000005566.1 ENSAPEG00000003855.1
ENSAPET00000005502.1 ENSAPEG00000003856.1
ENSAPET00000005503.1 ENSAPEG00000003857.1
ENSAPET00000005527.1 ENSAPEG00000003858.1
ENSAPET00000005517.1 ENSAPEG00000003859.1
ENSAPET00000005509.1 ENSAPEG00000003860.1
ENSAPET00000005529.1 ENSAPEG00000003862.1
ENSAPET00000005523.1 ENSAPEG00000003863.1
ENSAPET00000005548.1 ENSAPEG00000003864.1
ENSAPET00000005530.1 ENSAPEG00000003865.1
ENSAPET00000005524.1 ENSAPEG00000003866.1
ENSAPET00000005533.1 ENSAPEG00000003867.1
ENSAPET00000005555.1 ENSAPEG00000003868.1
ENSAPET00000005577.1 ENSAPEG00000003868.1
ENSAPET00000005583.1 ENSAPEG00000003869.1
ENSAPET00000005562.1 ENSAPEG00000003870.1
ENSAPET00000005586.1 ENSAPEG00000003870.1
ENSAPET00000005545.1 ENSAPEG00000003871.1
ENSAPET00000005653.1 ENSAPEG00000003872.1
ENSAPET00000005675.1 ENSAPEG00000003872.1
ENSAPET00000005552.1 ENSAPEG00000003873.1
ENSAPET00000005628.1 ENSAPEG00000003874.1
ENSAPET00000005638.1 ENSAPEG00000003874.1
